,path_no,path_treat,pvalue,lsmean,SE,df,asymp.LCL,asymp.UCL,direction,plantsp
72,85,path_treat852,0.011722644,0.098962223,0.125172544,Inf,0.006963039,0.632401682,-,SL
74,87,path_treat872,0.066971062,0.347582631,0.268370975,Inf,0.049773749,0.844204202,+,SL
76,92,path_treat922,0.444646047,0.934806733,0.109892789,Inf,0.294998572,0.997969005,+,SL
78,1,path_treat1,0.727975033,0.676419489,0.249823043,Inf,0.182467642,0.951406358,+,BS
79,10,path_treat10,0.92923167,1,6.69008697083677e-07,Inf,2.22044604925031e-16,1,+,BS
80,12,path_treat12,0.663781874,0.895240918,0.108132953,Inf,0.471432639,0.987934345,+,BS
81,14,path_treat14,0.065432288,0.811426058,0.178172355,Inf,0.305144523,0.976831589,+,BS
82,16,path_treat16,0.439246438,1,3.5603377416292e-07,Inf,2.22044604925031e-16,1,+,BS
83,17,path_treat172,0.012902384,0.8621229,0.097232222,Inf,0.55719873,0.968819015,+,BS
84,18,path_treat183,0.47703415,0.866468449,0.09216384,Inf,0.576601974,0.968669649,+,BS
85,19,path_treat193,0.733574175,0.797073551,0.111330838,Inf,0.504764387,0.938030992,+,BS
86,2,path_treat2,0.189281197,0.72010766,0.228681483,Inf,0.217758256,0.959641963,+,BS
87,20,path_treat20,0.499711816,0.888257669,0.118029901,Inf,0.435949348,0.987916419,+,BS
88,21,path_treat21,0.973764148,0.861911883,0.123108777,Inf,0.451146719,0.979337596,+,BS
89,22,path_treat22,0.943100545,0.906981535,0.100673527,Inf,0.484632256,0.990205956,+,BS
90,23,path_treat233,0.589694772,0.769509155,0.138986407,Inf,0.418162045,0.939426175,+,BS
91,25,path_treat25,0.855869354,0.480796006,0.30571208,Inf,0.077476851,0.910798653,+,BS
92,26,path_treat26,0.902127842,0.876616897,0.129566001,Inf,0.404417585,0.986726765,+,BS
93,29,path_treat293,0.352106013,0.208193112,0.191063546,Inf,0.026403623,0.718249008,+,BS
94,35,path_treat352,0.530422552,0.699548894,0.217783557,Inf,0.234026096,0.946648047,+,BS
95,45,path_treat453,0.468516227,0.213604731,0.185532774,Inf,0.030232811,0.702966364,+,BS
96,57,path_treat573,0.565168378,1,1.12143406001925e-09,Inf,2.22044604925031e-16,1,+,BS
97,58,path_treat583,0.258222421,1,3.2652743418921e-07,Inf,2.22044604925031e-16,1,+,BS
98,59,path_treat593,0.799820036,0.655047703,0.202866155,Inf,0.246318258,0.916899687,+,BS
99,64,path_treat643,0.996416806,0.846013742,0.164889592,Inf,0.314951331,0.984997411,+,BS
100,7,path_treat7,0.347419925,1,9.56079775678339e-07,Inf,2.22044604925031e-16,1,+,BS
101,73,path_treat732,0.984131151,0.590987009,0.235263669,Inf,0.176599895,0.906840186,+,BS
102,74,path_treat743,0.710231531,0.229801196,0.208397936,Inf,0.02882758,0.749942052,+,BS
103,76,path_treat763,0.208246941,0.855637973,0.172397196,Inf,0.27768625,0.989175011,+,BS
104,8,path_treat8,0.265713389,1,1.30258322949576e-06,Inf,2.22044604925031e-16,1,+,BS
105,83,path_treat833,0.859910307,0.30095509,0.189057357,Inf,0.068877564,0.714747058,+,BS
106,85,path_treat853,0.704139175,0.396812659,0.21045028,Inf,0.105075569,0.786596787,+,BS
107,87,path_treat873,0.288342121,0.791328223,0.156995677,Inf,0.370402669,0.96069821,+,BS
108,9,path_treat9,0.739457589,1,1.54420125094321e-06,Inf,2.22044604925031e-16,1,+,BS
109,92,path_treat923,0.832331093,0.903224138,0.098205549,Inf,0.507887277,0.988290712,+,BS
111,17,path_treat173,0.739082266,1,3.60473678336964e-09,Inf,2.22044604925031e-16,1,+,IW
112,18,path_treat184,0.967308425,0.843523182,0.142933842,Inf,0.392273903,0.97827066,+,IW
113,19,path_treat194,0.002715302,0.843973096,0.143457517,Inf,0.390043071,0.978612215,+,IW
114,23,path_treat234,0.890854729,1,4.32017435070996e-09,Inf,2.22044604925031e-16,1,+,IW
115,29,path_treat294,0.965539051,0.374621008,0.217320625,Inf,0.088626199,0.786782597,+,IW
116,35,path_treat353,0.714466918,0.263819803,0.222518281,Inf,0.03655293,0.771947201,+,IW
117,45,path_treat454,0.28165513,0.58935023,0.190953704,Inf,0.234126906,0.870761999,+,IW
118,47,path_treat47,0.999649929,1,1.04232280418608e-08,Inf,2.22044604925031e-16,1,+,IW
119,48,path_treat48,0.452058021,1,7.56237240562286e-09,Inf,2.22044604925031e-16,1,+,IW
120,49,path_treat49,0.918230105,0.536602751,0.231742557,Inf,0.157102911,0.877964114,+,IW
