"","path_treat","lsmean","SE","df","asymp.LCL","asymp.UCL","plantsp"
"92","26",0.876616897331427,0.129566000883924,Inf,0.404417585473786,0.986726765309719,"BS"
"93","29",0.208193111791819,0.191063545710862,Inf,0.0264036234441842,0.718249007715999,"BS"
"94","35",0.69954889406171,0.21778355686848,Inf,0.234026096256599,0.946648046856921,"BS"
"95","45",0.213604731071458,0.185532773554662,Inf,0.0302328105597485,0.702966364442853,"BS"
"96","57",1,1.12143406001925e-09,Inf,2.22044604925031e-16,1,"BS"
"97","58",0.999999999999551,3.2652743418921e-07,Inf,2.22044604925031e-16,1,"BS"
"98","59",0.655047702866866,0.202866155324386,Inf,0.246318258374285,0.916899686562757,"BS"
"99","64",0.846013741865957,0.164889591540873,Inf,0.314951330560549,0.984997411196638,"BS"
"100","7",0.999999999993944,9.56079775678339e-07,Inf,2.22044604925031e-16,1,"BS"
"101","73",0.590987009272153,0.235263669143468,Inf,0.176599894553229,0.906840185822585,"BS"
"102","74",0.229801195592759,0.208397936155223,Inf,0.0288275798480189,0.749942052247867,"BS"
"103","76",0.855637973190218,0.172397196071207,Inf,0.277686250250459,0.989175010808126,"BS"
"104","8",0.999999999995467,1.30258322949576e-06,Inf,2.22044604925031e-16,1,"BS"
"105","83",0.300955089910659,0.18905735658604,Inf,0.0688775635678079,0.714747058446017,"BS"
"106","85",0.396812659162773,0.210450280427999,Inf,0.105075569022854,0.786596786985144,"BS"
"107","87",0.791328222690387,0.156995676866956,Inf,0.370402669090752,0.960698210004567,"BS"
"108","9",0.999999999990045,1.54420125094321e-06,Inf,2.22044604925031e-16,1,"BS"
"109","92",0.903224137803954,0.0982055493860196,Inf,0.507887277466741,0.98829071213414,"BS"
"110","sterile",0.908921747019133,0.0442999354175082,Inf,0.777593675048943,0.966084585264638,"IW"
"111","17",0.999999999995274,3.60473678336964e-09,Inf,2.22044604925031e-16,1,"IW"
"112","18",0.843523182100795,0.142933842370241,Inf,0.392273903286525,0.978270660474856,"IW"
"113","19",0.843973095892758,0.143457517120589,Inf,0.390043071258728,0.97861221505933,"IW"
"114","23",0.999999999994701,4.32017435070996e-09,Inf,2.22044604925031e-16,1,"IW"
"115","29",0.374621008155234,0.217320624560274,Inf,0.088626198931842,0.786782597481368,"IW"
"116","35",0.263819803180084,0.222518280732731,Inf,0.0365529298837109,0.77194720079739,"IW"
"117","45",0.589350230148181,0.190953703841016,Inf,0.234126905569816,0.870761998804254,"IW"
"118","47",0.999999999987538,1.04232280418608e-08,Inf,2.22044604925031e-16,1,"IW"
"119","48",0.999999999990958,7.56237240562286e-09,Inf,2.22044604925031e-16,1,"IW"
"120","49",0.536602750610109,0.231742557255522,Inf,0.157102910786153,0.877964114476582,"IW"
"121","51",0.790674217065887,0.188711528518141,Inf,0.287871992477457,0.972447697770634,"IW"
"122","53",0.999999999995489,3.66562121251342e-09,Inf,2.22044604925031e-16,1,"IW"
"123","55",0.999999999995947,3.42398444751556e-09,Inf,2.22044604925031e-16,1,"IW"
"124","56",0.901169106112654,0.111616863188081,Inf,0.438807526838529,0.990683133827768,"IW"
"125","57",0.914894323386549,0.0824781212039216,Inf,0.574142105740882,0.988468318430831,"IW"
"126","58",0.844351103388496,0.103214057479419,Inf,0.537848686301002,0.961956767050611,"IW"
"127","59",0.999999999999176,6.69509674926708e-10,Inf,2.22044604925031e-16,1,"IW"
"128","64",0.99999999999689,2.59038816546819e-09,Inf,2.22044604925031e-16,1,"IW"
"129","73",0.849039309415514,0.147939321949556,Inf,0.369313948908246,0.98182441225919,"IW"
"130","74",0.6543205292412,0.212096917773008,Inf,0.231510879193479,0.922439984993256,"IW"
"131","76",0.858157119364591,0.141099196451978,Inf,0.384171322087732,0.983242579183211,"IW"
"132","83",0.999999999996051,3.60143494885393e-09,Inf,2.22044604925031e-16,1,"IW"
"133","85",0.703052658739954,0.177871806955281,Inf,0.308314030029753,0.926339026374232,"IW"
"134","87",0.999999999995196,5.0154293679026e-09,Inf,2.22044604925031e-16,1,"IW"
"135","92",0.840881456488385,0.146219035578139,Inf,0.382940648690424,0.978261404135262,"IW"
