,path_no,path_treat,pvalue,lsmean,SE,df,lower.CL,upper.CL,direction,plantsp,biomass
63,68,path_treat68,0.826828083,0.001960735,0.003743852,65.35341892,-0.00524797,0.009717877,-,SL,below
64,70,path_treat70,0.635339853,0.000960422,0.003711192,65.34930036,-0.006185121,0.008650214,-,SL,below
65,74,path_treat742,0.601222939,0.001333505,0.002749233,66.5677167,-0.004008672,0.006972989,-,SL,below
66,76,path_treat762,0.799630838,0.003336632,0.0018915,65.54739757,-0.000372164,0.007183493,+,SL,below
67,83,path_treat832,0.445881454,0.004477764,0.001950534,66.95543004,0.000656085,0.008444545,+,SL,below
68,85,path_treat852,0.001320594,0.010648799,0.002099168,63.97247285,0.006533669,0.014922888,+,SL,below
69,87,path_treat872,0.016848466,0.008059547,0.001895972,66.38908203,0.004340053,0.011911634,+,SL,below
70,92,path_treat922,0.964878687,0.00273087,0.001793863,65.99942568,-0.000788981,0.006375599,+,SL,below
72,1,path_treat1,0.451443477,0.003892599,0.001804021,107.8781313,0.000377512,0.00753078,+,BS,below
73,10,path_treat10,0.770623777,0.004803143,0.001611929,133.8944132,0.001663009,0.008040268,+,BS,below
74,12,path_treat12,0.374124101,0.007040689,0.00185549,133.9921488,0.003433048,0.010774161,+,BS,below
75,14,path_treat14,0.427673554,0.003816858,0.001812633,107.016349,0.000285007,0.007473095,+,BS,below
76,16,path_treat16,0.982744876,0.005271134,0.001638542,133.9943043,0.002079757,0.008562285,+,BS,below
77,17,path_treat173,0.973967609,0.005266816,0.001129375,133.8594105,0.003056619,0.007524413,+,BS,below
78,18,path_treat183,0.016137758,0.008836986,0.001309439,133.9094704,0.006277699,0.011457903,+,BS,below
79,19,path_treat193,0.799321289,0.005671195,0.001275306,125.5083535,0.003177208,0.008225467,+,BS,below
80,2,path_treat2,0.518270681,0.003926861,0.002101308,93.60946692,-0.000162916,0.008184173,+,BS,below
81,20,path_treat20,0.972356893,0.005234088,0.002184632,99.04979411,0.000987395,0.009659362,+,BS,below
82,21,path_treat21,0.475736381,0.003757887,0.002147597,101.6617062,-0.000415768,0.008106464,+,BS,below
83,22,path_treat22,0.29944022,0.0073171,0.001868657,110.6699869,0.003677267,0.011084718,+,BS,below
