"","path_treat","lsmean","SE","df","lower.CL","upper.CL","plantsp","biomass"
"1","sterile",0.0343765115017891,0.00244738636728839,103.864075665338,0.0296097769926451,0.0393185549915353,"MW","below"
"2","17",0.0480837802848733,0.00740551072190699,102.638857414242,0.0341009856292375,0.0635245697901687,"MW","below"
"3","18",0.0292225693271975,0.0063776546545948,98.3595688980194,0.0171668829311651,0.0425187049939071,"MW","below"
"4","19",0.0408053298505057,0.00793291402291611,102.473692217262,0.0259185406153797,0.0574521179916544,"MW","below"
"5","23",0.0318169861590631,0.00596410970953522,104.339281423562,0.0205054087775322,0.0441903564024778,"MW","below"
"6","29",0.0232088409774261,0.0120524300170126,99.6786542036087,0.00147361158743052,0.049599666923465,"MW","below"
"7","35",0.0225643633369931,0.00873808134365583,104.982254627028,0.00640723347074101,0.0411748306033452,"MW","below"
"8","45",0.0396892814457853,0.00680938501731585,93.4909555140283,0.026801902200313,0.0538864560565846,"MW","below"
"9","57",0.0342509154862348,0.00496116251715397,101.114682839439,0.0247615061965226,0.0444620929832484,"MW","below"
"10","58",0.0454405141860473,0.00581194420592367,104.742328980719,0.0343609277358574,0.0574337385365988,"MW","below"
"11","59",0.0370663732629536,0.0056104784730111,103.48661214093,0.0263795561592871,0.0486568813058672,"MW","below"
"12","61",0.0385355094091767,0.00632365092173267,103.532456434533,0.0265456725471447,0.0516613486732236,"MW","below"
"13","62",0.0324005933654898,0.00578718815463536,102.837309307765,0.0214062846298631,0.0443905245678017,"MW","below"
"14","63",0.0408964941592705,0.00753060963808151,104.281066928866,0.0267275970403288,0.0566495580284367,"MW","below"
"15","64",0.0351037059631255,0.00419192392199982,104.706229179961,0.0270421543771995,0.0436768091225521,"MW","below"
"16","73",0.0257745346946177,0.00722647693798977,98.8628420677748,0.0122225733255472,0.0409630265005371,"MW","below"
"17","74",0.0397449986196841,0.00788418051830818,100.71072685499,0.0249478712765516,0.0562944965744315,"MW","below"
"18","76",0.0281732012055453,0.00630993471896704,100.713483310651,0.0162473830840898,0.0413224889148122,"MW","below"
"19","83",0.0304752003661022,0.00634174392193699,83.9815166514527,0.0184542177914608,0.0437160974761147,"MW","below"
"20","85",0.0390799712627962,0.00514339046402395,103.792628912631,0.0292452302582347,0.0496630735835436,"MW","below"
"21","87",0.0238598181365723,0.0056997261857181,104.983482308982,0.0130585635403608,0.0356929901497297,"MW","below"
"22","92",0.0343414096854443,0.0053744460021768,104.91797230693,0.0240964896094365,0.0454321102319079,"MW","below"
"23","sterile",0.0213899263177846,0.0016716682421149,174.248010224617,0.0181350355197066,0.0247344968121593,"DB","below"
"24","17",0.026113149300747,0.00426935930542212,178.74924451405,0.017963561010646,0.0348257571261106,"DB","below"
"25","18",0.0254925241281787,0.00443689159695796,166.515187387649,0.0170314530658739,0.0345653087225805,"DB","below"
"26","19",0.0159116066658691,0.00453593556407886,175.722469608239,0.00729663528845657,0.0252182840938405,"DB","below"
"27","23",0.0260836346248484,0.00445714786955631,163.988860587933,0.0175829674039859,0.0351988580590404,"DB","below"
"28","29",0.0188200345513968,0.00349417528129007,180.333331504855,0.0121215317005686,0.0259187276222658,"DB","below"
"29","30",0.0181724926528681,0.00516927056571211,169.34125578044,0.0083961620188393,0.0288305578325282,"DB","below"
"30","33",0.0139047850229984,0.0047111729984098,174.861915311218,0.00497608772744254,0.023592908937716,"DB","below"
"31","35",0.0200582618624166,0.00351888131012666,179.907303178965,0.0133116487830233,0.0272065705179656,"DB","below"
"32","38",0.0106710090525402,0.0044862919494178,180.74709519982,0.00216354572253459,0.0198869142421104,"DB","below"
"33","40",0.0143793862429057,0.00475593465477584,179.949127137342,0.00536948644085794,0.0241597016290562,"DB","below"
"34","41",0.0201158414908677,0.00538283410125942,175.320067827866,0.00994858965767943,0.0312232873743964,"DB","below"
"35","42",0.0182990656509874,0.0046065833646596,172.771844452394,0.00954727660770537,0.0277500396838918,"DB","below"
"36","43",0.0195689196800914,0.00551070624551755,176.193353395883,0.00917336769287082,0.0309543422136069,"DB","below"
"37","44",0.016199604472726,0.00472600753578481,179.870185712038,0.00723845116516518,0.0259095775154574,"DB","below"
"38","45",0.0184250188891805,0.00315027041756266,176.643468843903,0.0123683786573433,0.0248081112006528,"DB","below"
"39","46",0.0154082941735848,0.00466804351526792,180.991779148959,0.00655548051359578,0.024996614907642,"DB","below"
"40","57",0.0383466343829711,0.00472738427382449,180.836084772128,0.0293262205679615,0.0479962157792854,"DB","below"
"41","58",0.0250741760178717,0.00428085056859511,180.530479818271,0.016906157357841,0.0338128791511453,"DB","below"
